Act,Handle,Year,Num
Pondicherry (Administration) Act,1471,1962,49
Foreigners Law (Application and Amendment) Act,19242,1962,42
Extradition Act,1440,1962,34
Atomic Energy Act,1413,1962,33
State of Nagaland Act,1384,1962,27
National Co-operative Development Corporation Act,1462,1962,26
Hindi Sahitya Sammelan Act,1416,1962,13
"Goa, Daman and Diu (Administration) Act",1369,1962,1
Institutes of Technology Act,1705,1961,59
Maternity Benefit Act,1681,1961,53
Apprentices Act,1668,1961,52
Deposit Insurance and Credit Guarantee Corporation Act,1655,1961,47
Voluntary Surrender of Salaries (Exemption from Taxation) Act,1660,1961,46
Income-tax Act,2435,1961,43
Dadra and Nagar Haveli Act,1640,1961,35
Union Territories (Stamp and Court-fees Laws) Act,19248,1961,33
Delhi (Urban Areas) Tenants' Relief Act,1695,1961,30
Dowry Prohibition Act,1679,1961,28
Motor Transport Workers Act,1662,1961,27
Salar Jung Museum Act,1646,1961,26
Advocates Act,1631,1961,25
Acquired Territories (Merger) Act,1498,1960,64
Preference Shares (Regulation of Dividend) Act,1572,1960,63
Prevention of Cruelty to Animals Act,1547,1960,59
Tripura Land Revenue and Land Reforms Act,1564,1960,43
Delhi Primary Education Act,1543,1960,39
Manipur Land Revenue and Land Reforms Act,1531,1960,33
"International Development Association (Status, Immunities and Privileges) Act",1511,1960,32
Delhi Land Holdings (Ceiling) Act,1568,1960,24
Bombay Reorganisation Act,1535,1960,11
Orphanages and Other Charitable Homes (Supervision and Control) Act,13052,1960,10
Geneva Conventions Act,1559,1960,6
Indian Statistical Institute Act,1425,1959,57
Andhra Pradesh and Madras (Alteration of Boundaries) Act,1409,1959,56
Arms Act,1398,1959,54
Rajasthan and Madhya Pradesh (Transfer of Territories) Act,1374,1959,47
Employment Exchanges (Compulsory Notification of Vacancies) Act,1418,1959,31
Cost Accountants Act,1385,1959,23
Parliament (Prevention of Disqualification) Act,1368,1959,10
Sugar Export Promotion Act,19280,1958,301
Delhi Rent Control Act,19223,1958,59
Orissa Weights and Measures (Delhi Repeal) Act,1505,1958,57
Merchant Shipping Act,1562,1958,44
"International Finance Corporation (Status, Immunities and Privileges) Act",1556,1958,42
Supreme Court Judges (Salaries and Conditions of Service) Act,1545,1958,41
Working Journalists (Fixation of Rates of Wages) Act,1536,1958,29
Armed Forces (Special Powers) Act,1527,1958,28
Ancient Monuments and Archaeological Sites and Remains Act,13053,1958,24
Probation of Offenders Act,1507,1958,20
Gift-Tax Act,2483,1958,18
Mines and Minerals (Development and Regulation) Act,1421,1957,67
Delhi Municipal Corporation Act,1410,1957,66
Navy Act,1400,1957,62
Delhi Development Act,1391,1957,61
Cantonments (Extension of Rent Control Laws) Act,1379,1957,46
Public Employment (Requirement as to Residence) Act,1429,1957,44
Naga Hills-Tuensang Area Act,1417,1957,42
Inter-State Corporation Act,1404,1957,38
Wealth-tax Act,3123,1957,27
Railway Protection Force Act,1450,1957,23
Coal Bearing Areas (Acquisition and Development) Act,13051,1957,20
Copyright Act,1367,1957,14
Women's and Children's Institutions (Licensing) Act,19281,1956,105
Immoral Traffic (Prevention) Act,19243,1956,104
Slum Areas (Improvement and Clearance) Act,1709,1956,96
Faridabad Development Corporation Act,1729,1956,90
Manipur (Village Authorities in Hill Areas) Act,1666,1956,80
Hindu Adoptions and Maintenance Act,1638,1956,78
Central Sales Tax Act,2484,1956,74
Jammu and Kashmir (Extension of Laws) Act,1722,1956,62
Khadi and Village Industries Commission Act,1683,1956,61
Supreme Court (Number of Judges) Act,1676,1956,55
Lok Sahayak Sena Act,1669,1956,53
River Boards Act,1659,1956,49
National Highways Act,1651,1956,48
Securities Contracts (Regulation) Act,1644,1956,42
Bihar and West Bengal (Transfer of Territories) Act,1636,1956,40
States Reorganisation Act,1680,1956,37
Inter-State River Water Disputes Act,1664,1956,33
Hindu Minority and Guardianship Act,1649,1956,32
Life Insurance Corporation Act,1632,1956,31
Hindu Succession Act,1713,1956,30
All-India Institute of Medical Sciences Act,1699,1956,25
University Grants Commission Act,1627,1956,3
Citizenship Act,1522,1955,57
Manipur (Courts) Act,1512,1955,56
Working Journalists and other Newspaper Employees (Conditions of Service) and Miscellaneous Provisions Act,1504,1955,45
Prize Competitions Act,1515,1955,42
Durgah Khawaja Saheb Act,1506,1955,36
Prisoners (Attendance in Courts) Act,1570,1955,32
Hindu Marriage Act,1560,1955,25
State Bank of India Act,1553,1955,23
Protection of Civil Rights Act,1544,1955,22
Essential Commodities Act,1579,1955,10
Special Marriage Act,1387,1954,43
Himachal Pradesh and Bilaspur (New State) Act,1377,1954,32
Shillong (Rifle Range and Umlong) Cantonments Assimilation of Laws Act,1445,1954,31
"Salary, Allowances and Pension of Members of Parliament Act",1438,1954,30
High Court Judges (Salaries and Conditions of Service) Act,1431,1954,28
Delivery of Books and Newspapers (Public Libraries) Act,1422,1954,27
Drugs and Magic Remedies (Objectionable Advertisements) Act,1412,1954,21
Lushai Hills District (Change of Name) Act,1395,1954,18
Coir Industry Act,2179,1953,45
Calcutta High Court (Extension of Jurisdiction) Act,2178,1953,41
Andhra State Act,2176,1953,30
Tea Act,2175,1953,29
Salaries and Allowances of Officers of Parliament Act,2174,1953,20
Scheduled Areas (Assimilation of Laws) Act,2173,1953,16
Forward Contracts (Regulation)Act,2163,1952,74
State Armed Police Forces (Extension of Laws) Act,19246,1952,63
Reserve and Auxiliary Air Forces Act,2161,1952,62
Commissions of Inquiry Act,1508,1952,60
Salaries and Allowances of Ministers Act,2129,1952,58
Notaries Act,2172,1952,53
Delhi and Ajmer Rent Control Act,2171,1952,38
Cinematograph Act,2170,1952,37
Mines Act,2168,1952,35
Presidential and Vice-Presidential Elections Act,2167,1952,31
Requisitioning and Acquisition of Immovable Property Act,2166,1952,30
Inflammable Substances Act,2165,1952,20
Employees' Provident Funds and Miscellaneous Provisions Act,2152,1952,19
Plantations Labour Act,2085,1951,69
Industries (Development and Regulation) Act,2118,1951,65
State Financial Corporations Act,2018,1951,63
All-India Services Act,1363,1951,61
Companies (Donations to National Funds) Act,2416,1951,54
Assam (Alteration of Boundaries) Act,1452,1951,47
Representation of the People Act,2096,1951,43
Rajghat Samadhi Act,2162,1951,41
Marking of Heavy Packages Act,2063,1951,39
Scheduled Areas (Assimilation of Laws) Act,2141,1951,37
Finance Commission (Miscellaneous Provisions) Act,1941,1951,33
President's Emolument and Pension Act,2107,1951,30
Visva-Bharati Act,1652,1951,29
Jallianwala Bagh National Memorial Act,2052,1951,25
Khaddar (Protection of Name) Act,1386,1950,78
Road Transport Corporations Act,1541,1950,64
Contingency Fund of India Act,1696,1950,49
Army Act,1930,1950,46
Air Force Act,1819,1950,45
Representation of the People Act,1663,1950,43
Ajmer Tenancy and Land Records Act,1796,1950,42
Army and Air Force (Disposal of Private Property) Act,2029,1950,40
Union Territories (Laws) Act,1874,1950,30
Transfer of Prisoners Act,1574,1950,29
Special Criminal Courts (Jurisdiction) Act,2041,1950,18
Emblems and Names (Prevention of Improper Use) Act,1896,1950,12
Immigrants (Expulsion from Assam) Act,1674,1950,10
High Courts (Seals) Act,1475,1950,7
Central Reserve Police Force Act,1608,1949,66
Police Act,1430,1949,64
Industrial Disputes (Banking and Insurance Companies) Act,1919,1949,54
Chartered Accountants Act,1552,1949,38
West Godavari District (Assimilation of Laws on Federal Subjects) Act,1974,1949,20
Banking Regulation Act,1885,1949,10
Seaward Artillery Practice Act,2437,1949,8
Scheduled Securities (Hyderabad) Act,18940,1949,7
Mangrol and Manavadar (Administration of Property) Act,1963,1949,2
Delhi and Ajmer-Merwara Land Development Act,1630,1948,66
Factories Act,1530,1948,63
Reserve Bank (Transfer of Public Ownership) Act,1408,1948,62
Central Silk Board Act,1474,1948,61
Territorial Army Act,1497,1948,56
Oil Fields (Regulation and Development) Act,1397,1948,53
Coal Mines Provident Fund and Miscellaneous Provisions Act,1841,1948,46
Diplomatic and Consular Officers (Oaths and Fees) Act,1763,1948,41
Census Act,1519,1948,37
Employees' State Insurance Act,1441,1948,34
Calcutta Port (Pilotage) Act,1852,1948,33
National Cadet Corps Act,1719,1948,31
Dentists Act,1463,1948,16
Damodar Valley Corporation Act,1807,1948,14
Rehabilitation Finance Administration Act,1863,1948,12
Minimum Wages Act,1730,1948,11
Dock Workers (Regulation of Employment) Act,1708,1948,9
Pharmacy Act,1364,1948,8
Indian Nursing Council Act,1785,1947,48
United Nations (Privileges and Immunities) Act,1697,1947,46
United Nations (Security Council) Act,1641,1947,43
Rubber Act,1563,1947,24
Armed Forces (Emergency Duties) Act,1419,1947,15
Industrial Disputes Act,15191,1947,14
Foreigners Act,2259,1946,31
Delhi Special Police Establishment Act,2258,1946,25
Industrial Employment (Standing Orders) Act,2257,1946,20
International Monetary Fund and Bank Act,2406,1945,47
Public Debt Act,2405,1944,18
Central Excise Act,19238,1944,1
Reciprocity Act,2413,1943,9
Coffee Act,2412,1942,7
Drugs and Cosmetics Act,2409,1940,23
Commercial Documents Evidence Act,2408,1939,30
Registration of Foreigners Act,2407,1939,16
Dissolution of Muslim Marriages Act,2404,1939,8
Cutchi Memons Act,2306,1938,10
"Manoeuvres, Field Firing and Artillery Practice Act",2305,1938,5
Insurance Act,2304,1938,4
Muslim Personal Law (Shariat) Application Act,2303,1937,26
Arya Marriage Validation Act,2302,1937,19
Agricultural Produce (Grading and Marking) Act,2403,1937,1
Payment of Wages Act,19310,1936,4
Parsi Marriage and Divorce Act,2476,1936,3
Petroleum Act,2401,1934,30
Aircraft Act,2400,1934,22
Reserve Bank of India Act,2398,1934,2
Murshidabad Estate Administration Act,2397,1933,23
Indian Wireless Telegraphy Act,2396,1933,17
Indian Partnership Act,2394,1932,9
Hindu Gains of Learning Act,2391,1930,30
Sale of Goods Act,2390,1930,3
Indian Forest Act,2388,1927,16
Trade Unions Act,2386,1926,16
Indian Succession Act,2385,1925,39
"Madras, Bengal and Bombay Children (Supplementary) Act",19233,1925,35
Indian Carriage of Goods by Sea Act,2384,1925,26
Sikh Gurdwaras (Supplementary)Act,16825,1925,24
Provident Funds Act,2383,1925,19
Indian Soldiers (Litigation) Act,2381,1925,4
Mussalman Wakf Act,19245,1923,42
Official Secrets Act,2379,1923,19
Employees' Compensation Act,19236,1923,8
Indian Naval Armament Act,2377,1923,7
Boilers Act,2375,1923,5
Delhi University Act,2374,1922,8
Maintenance Orders Enforcement Act,2373,1921,18
Aligarh Muslim University Act,2372,1920,40
Passport (Entry into India) Act,2370,1920,34
Indian Red Cross Society Act,2368,1920,15
Charitable and Religious Trusts Act,2367,1920,14
Provincial Insolvency Act,19723,1920,5
Calcutta High Court (Jurisdictional Limits) Act,2364,1919,15
Poisons Act,2363,1919,12
Usurious Loans Act,2362,1918,10
Post Office Cash Certificates Act,2361,1917,18
King of Oudh's Estate Validation Act,19249,1917,12
Destruction of Records Act,2359,1917,5
Hindu Disposition of Property Act,2357,1916,15
Banaras Hindu University Act,2356,1915,16
Sir Jamsetjee Jejeebhoy Baronetcy Act,2355,1915,10
Local Authorities Loans Act,19147,1914,9
Destructive Insects and Pests Act,2354,1914,2
White Phosphorus Matches Prohibition Act,2353,1913,5
Official Trustees Act,2352,1913,2
Co-operative Societies Act,19226,1912,2
Indian Museum Act,2350,1910,10
Anand Marriage Act,2347,1909,7
Presidency Towns Insolvency Act,19722,1909,3
Registration Act,2190,1908,16
Indian Ports Act,2344,1908,15
Central Provinces Financial Commissioner's Act,19222,1908,13
Explosive Substances Act,2342,1908,6
Code of Civil Procedure,2191,1908,5
Indian Railway Board Act,2340,1905,4
Ancient Monuments Preservation Act,2339,1904,7
Victoria Memorial Act,2336,1903,10
Works of Defence Act,2337,1903,7
Indian Tolls (Army and Air Force) Act,2335,1901,2
Prisoners Act,2334,1900,3
Central Provinces Court of Wards Act,19232,1899,24
Government Buildings Act,2332,1899,4
Indian Stamp Act,15510,1899,2
Central Provinces Tenancy Act,19250,1898,11
Live-stock Importation Act,2330,1898,9
Indian Post Office Act,2329,1898,6
General Clauses Act,2328,1897,10
Epidemic Diseases Act,2326,1897,3
Prisons Act,2325,1894,9
Sir Dinshaw Manockjee Petit Act,19225,1893,6
Partition Act,5657,1893,4
Madras City Civil Court Act,2323,1892,7
Bengal Military Police Act,19221,1892,5
Bankers' Books Evidence Act,2322,1891,18
Moorshedabad Act,2320,1891,15
Easements (Extending Act 5 of 1882),2319,1891,8
North-western Provinces and Oudh Act,19224,1890,20
Guardians and Wards Act,2318,1890,8
Charitable Endowments Act,2317,1890,6
Revenue Recovery Act,2315,1890,1
King of Oudh's Estate Act,19279,1888,14
City of Bombay Municipal (Supplementary) Act,19546,1888,12
Indian Reserve Forces Act,2314,1888,4
King of Oudh's Estate Act,19228,1887,19
Punjab Land-revenue Act,19229,1887,17
Punjab Tenancy Act,19230,1887,16
"Bengal, Agra and Assam Civil Courts Act",2313,1887,12
Provincial Small Cause Courts Act,2312,1887,9
Suits Valuation Act,2311,1887,7
Indian Tramways Act,2310,1886,11
Deo Estate Act,19547,1886,9
"Births, Deaths and Marriages Registration Act",2309,1886,6
Indian Telegraph Act,2307,1885,13
Agriculturists' Loans Act,19140,1884,12
Explosives Act,2301,1884,4
Punjab District Boards Act,2393,1883,20
Land Improvement Loans Act,2382,1883,19
Presidency Small Cause Courts Act,2371,1882,15
Powers-of-Attorney Act,2360,1882,7
Indian Easements Act,2349,1882,5
Transfer of Property Act,2338,1882,4
Indian Trusts Act,2327,1882,2
Negotiable Instruments Act,2189,1881,26
Central Provinces Land-revenue Act,19215,1881,18
Kazis Act,2290,1880,12
Religious Societies Act,2289,1880,1
Legal Practitioners Act,2288,1879,18
Dekkhan Agriculturists' Relief Act,19144,1879,17
Northern India Ferries Act,2287,1878,17
Indian Treasure-trove Act,2286,1878,6
Broach and Kaira Incumbered Estates Act,19231,1877,14
Oudh Laws Act,19217,1876,18
Bombay Revenue Jurisdiction Act,7753,1876,10
Chutia Nagpur Encumbered Estates Act,19142,1876,6
Majority Act,2284,1875,9
Laws Local Extent Act,19146,1874,15
Married Women's Property Act,2283,1874,3
Northern India Canal and Drainage Act,2282,1873,8
Government Savings Promotion Act,2281,1873,5
Madras Civil Courts Act,2299,1873,3
Indian Christian Marriage Act,2186,1872,15
Indian Contract Act,2187,1872,9
Punjab Laws Act,19137,1872,4
Indian Evidence Act,2188,1872,1
Pensions Act,2295,1871,23
Dehra Dun Act,19098,1871,21
Cattle-trespass Act,2294,1871,1
Oudh Taluqdars' Relief Act,19139,1870,24
Court-fees Act,2293,1870,7
Bombay Civil Courts Act,2291,1869,14
Divorce Act,2280,1869,4
Oudh Estates Act,19149,1869,1
Press and Registration of Books Act,2272,1867,25
Sarais Act,19045,1867,22
Public Gambling Act,2269,1867,3
Indian Tolls Act,2267,1864,15
Waste-Lands (Claims) Act,19035,1863,23
Religious Endowments Act,2266,1863,20
Partition of Revenue-paying Estates Act,19033,1863,19
Stage-Carriages Act,2265,1861,16
Police Act,2264,1861,5
Indian Penal Code,2263,1860,45
Societies Registration Act,2262,1860,21
Madras District Police Act,19099,1859,24
Bengal Land-revenue Sales Act,19227,1859,11
Bengal Ghatwali Lands Act,19042,1859,5
Tobacco Duty (Town of Bombay) Act,19100,1857,4
Calcutta Land-revenue Act,19028,1856,18
Indian Bills of Lading Act,2278,1856,9
Bengal Embankment Act,19037,1855,32
Fatal Accidents Act,2276,1855,13
Legal Representatives' Suits Act,2275,1855,12
"Police, Agra Act",19038,1854,16
Bengal Bonded Warehouse Association Act,19036,1854,5
Shore Nuisances (Bombay and Kolaba) Act,19040,1853,11
Rent Recovery Act,19039,1853,6
Extending certain acts to Straits Settlement,19543,1852,14
Bombay Rent-free Estates Act,19027,1852,11
Madras City Land Revenue Act,19032,1851,12
Indian Tolls Act,2274,1851,8
Improvements in Towns,19031,1850,26
Forfeited Deposits Act,19030,1850,25
Madras Board of Revenue,19544,1849,10
Bengal Land holders' Attendance Act,18942,1848,20
"Boundary-marks, Bombay",18943,1846,3
"Revenue Commissioners, Bombay",18946,1842,17
Revenue Bombay,18945,1842,13
Madras Rent and Revenue Sales Act,19545,1839,7
Coasting Vessels Act,2260,1838,19
Bengal Bonded Warehouse Association Act,19097,1838,5
Bengal Indigo Contracts Act,18935,1836,10
