Act,Handle,Year,Num
Collection of Statistics Act,2081,2009,7
Limited Liability Partnership Act,2023,2009,6
Gram Nyayalayas Act,2060,2009,4
National Investigation Agency Act,2054,2008,34
Unorganised Sector Workers Social Security Act,2100,2008,33
Airports Economic Regulatory Authority of India Act,2090,2008,27
Indian Maritime University Act,2093,2008,22
"Jawaharlal Institute of Post-Graduate Medical Education and Research, Pondicherry Act",2089,2008,19
Maintenance and Welfare of Parents and Senior Citizens Act,2033,2007,56
Armed Forces Tribunal Act,2077,2007,55
Rajiv Gandhi Institute of Petroleum Technology Act,2062,2007,54
Sashastra Seema Bal Act,2039,2007,53
Indira Gandhi National Tribal University Act,2016,2007,52
Payment and Settlement Systems Act,2082,2007,51
Tyre Corporation of India Limited (Disinvestment of Ownership) Act,2072,2007,50
National Capital Territory of Delhi Laws (Special Provisions) Act,2061,2007,43
Carriage by Road Act,2043,2007,41
Warehousing (Development and Regulation) Act,2020,2007,37
"National Institutes of Technology, Science Education and Research Act",2083,2007,29
National Rural Employment Guarantee (Extension to Jammu And Kashmir) Act,2088,2007,23
Sports Broadcasting Signals (Mandatory Sharing with Prasar Bharti) Act,2076,2007,11
Sikkim University Act,2049,2007,10
Tripura University Act,2094,2007,9
Rajiv Gandhi University Act,2087,2007,8
English and Foreign Languages University Act,2078,2007,7
Prohibition of Child Marriage Act,2055,2007,6
Central Educational Institutions (Reservation in Admission) Act,2091,2007,5
Scheduled Tribes and other Traditional Forest Dwellers (Recognition of Forest Rights) Act,2070,2007,2
Uttaranchal (Alteration of Name) Act,2047,2006,52
Assam Rifles Act,2037,2006,47
Pondicherry (Alteration of Name) Act,2075,2006,44
Cantonments Act,2066,2006,41
Government Securities Act,2059,2006,38
Actuaries Act,2069,2006,35
Food Safety and Standards Act,2027,2006,34
National Institute of Fashion Technology Act,2031,2006,28
"Micro, Small and Medium Enterprises Development Act",2013,2006,27
Delhi Laws (Special Provisions) Act,2073,2006,22
Petroleum and Natural Gas Regulatory Board Act,2012,2006,19
Commissions for Protection of Child Rights Act,2056,2006,4
Andhra Pradesh Legislative Council Act,1732,2006,1
Manipur University Act,2051,2005,54
Disaster Management Act,2045,2005,53
State Emblems of India (Prohibition of Improper Use) Act,2038,2005,50
National Tax Tribunal Act,2032,2005,49
Protection of Women from Domestic Violence Act,2021,2005,43
